Legislation Name,Congress ,Month-Day H,Month-Day S,Year,Bill,Vote # H,Vote # S,Description/Notes,Supports Free Trade,House,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party H,Bipartisanship Score (H),% of Dem vote Free Trade,% of Rep vote Free Trade,Senate,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party S,Bipartisanship Score (S),% of Dem vote Free Trade,% of Rep vote Free Trade,Source,voteview link,Notes
Tariff Act,43,,,1875,,,,slightly reduced U.S. import duties,TRUE,,,2-76,125-39,Democrat,0.02564102564,,,,,0-20,32-11,Democrat,0,0,0.74,Hiscox (1999),,
Morrison Bill,48,4-15,N/A,1884,H.R. 5893,74,,Reduced tariffs and increased income tax,TRUE,140-138,Failed,133-38,5-94,Rebulican,0.051,0.77,0.05,,,N/A,N/A,Democrat,,,,https://voteview.com/rollcall/RH0480074,https://voteview.com/rollcall/RH0480074,
Mills Bill,50,7-21,1-22 (1889),1888,HR9051,169,333,"House proposed tarrif reductions, but Senate revised it into a protectionist bill",TRUE(house)/FALSE(senate),163-149,,156-4,3-143,Rebulican,0.021,0.975,0.02,32-30,,0-30,32-0,Democrat,0,1,0,"https://voteview.com/rollcall/RH0500169, https://voteview.com/rollcall/RS0500333 ","https://voteview.com/rollcall/RH0500169, https://voteview.com/rollcall/RS0500333 ",
Tariff Act of 1890 (McKinely Tariff),51,5-21,9-10,1890,HR9416,184,364,sharply increased import duties,FALSE,165-142,Passed,1-139,164-2,Democrat,0.007,0.99,0.012,40-29,,0-29,40-0,Democrat,0,1,0,"https://voteview.com/rollcall/RH0510414, https://voteview.com/rollcall/RS0510364 ","https://voteview.com/rollcall/RH0510414, https://voteview.com/rollcall/RS0510364 ",
Revenue Act of 1894 (Gorman Tariff),53,,,1894,,,,aimed to reduce tariffs and promote free trade but was weakened by Senate amendments that preserved many protectionist rates.,TRUE,,,196-17,0-126,Rebulican,0,0.92,0,,,40-1,0-35,Republican,0,0.98,0,Hiscox (1999),,
Dingley Tariff,55,,,1897,,,,sharply raised import duties to protect U.S. manufacturers and workers from foreign competition.,FALSE,,Passed,5-115,199-0,Democrat,0.04166666667,0.96,0,,Passed,1-26,37-1,Democrat,0.037,0.960,0.026,Hiscox (1999),,
Payne-Aldrich Tariff,61,,,1909,,,,minor tariff cuts on raw materials but mostly maintained or increased duties to shield U.S. industries.,FALSE,,Passed,4-160,213-1,Democrat,0.0243902439,0.98,0.005,,Passed,1-30,50-10,Democrat,0.03225806452,0.97,0.17,Hiscox (1999),,
Revenue Act of 1913 (Underwood Tariff),63,5-8,9-9,1913,HR3321,6,140,Reduced tariffs and increased income tax,TRUE,282-139,Passed,275-5,5-127,Rebulican,0.038,0.98,0.038,44-37,Passed,42-2,1-35,Republican,0.02777777778,0.95,0.027,"https://voteview.com/rollcall/RH0630006, https://voteview.com/rollcall/RS0630140 ","https://voteview.com/rollcall/RH0630006, https://voteview.com/rollcall/RS0630140 ",
Fordney McCumber Tariff,67,,,1922,,,,Increase in import tariffs post WWI,FALSE,,Passed,7-88,220-19,Democrat,0.03083700441,0.92,0.08,,,3-33,54-6,Democrat,0.08333333333,0.91,0.1,Hiscox (1999),,
Smoot-Hawley Tariff,71,5-28,3-24,1930,HR2667,7,295,Raised import duties to protect American businesses and farmers,FALSE,267-147,Passed,20-134,244-12,Democrat,0.130,0.870,0.047,53-31,Passed,7-26,46-5,Democrat,0.2121212121,0.79,0.098,"https://voteview.com/rollcall/RH0710007, https://voteview.com/rollcall/RS0710295 ","https://voteview.com/rollcall/RH0710007, https://voteview.com/rollcall/RS0710295 ",
Reciprocal Trade Agreement  Act (RTAA),73,3-29,6-4,1934,HR8687,91,210,Gave the President authority to adjust tariff rates and the power to negotiate bilateral trade agreements without receiving prior congressional approval. Believed tit would help the economy after the Great Depression,TRUE,275-111,Passed,270-11,2-99,Rebulican,0.020,0.961,0.019,57-33,Passed,51-5,5-28,Republican,0.1515151515,0.91,0.15,"https://voteview.com/rollcall/RH0730091, https://voteview.com/rollcall/RS0730210 ","https://voteview.com/rollcall/RH0730091, https://voteview.com/rollcall/RS0730210 ",
RTAA extension,75,2-9,2-25,1937,HJR96,10,14,3 year extension,TRUE,285-101,Passed,278-11,3-81,Rebulican,0.036,0.962,0.036,58-24,Passed,56-9,0-14,Republican,0,0.86,0,"https://voteview.com/rollcall/RH0750010, https://voteview.com/rollcall/RS0750014 ","https://voteview.com/rollcall/RH0750010, https://voteview.com/rollcall/RS0750014 ",
RTAA extension,76,2-23,4-5,1940,HJR407,110,170,3 year extension,TRUE,218-168,Passed,212-20,5-146,Rebulican,0.033,0.914,0.033,42-37,Passed,38-18,3-17,Republican,0.15,0.67,0.15,"https://voteview.com/rollcall/RH0760110, https://voteview.com/rollcall/RS0760170 ","https://voteview.com/rollcall/RH0760110, https://voteview.com/rollcall/RS0760170 ",
RTAA extension,78,5-13,6-2,1943,HJR111,34,44,2 year extension,TRUE,343-65,Passed,196-11,145-52,Rebulican,0.736,0.947,0.730,59-23,Passed,41-8,18-14,Republican,0.5625,0.83,0.56,"https://voteview.com/rollcall/RH0780034 , https://voteview.com/rollcall/RS0780044 ","https://voteview.com/rollcall/RH0780034 , https://voteview.com/rollcall/RS0780044 ",
RTAA extension,79,5-26,6-20,1945,HR3240,43,50,3 year extension,TRUE,239-153,Passed,205-12,33-140,Rebulican,0.191,0.940,0.191,54-21,Passed,38-5,15-16,Republican,0.4838709677,0.88,0.48,"https://voteview.com/rollcall/RH0790043, https://voteview.com/rollcall/RS0790050","https://voteview.com/rollcall/RH0790043, https://voteview.com/rollcall/RS0790050",
RTAA extension,80,5-26,6-14,1948,HR6556,133,222,1 year extension,TRUE,234-149,Passed,17-141,217-6,Democrat,0.108,0.108,0.973,70-18,Passed ,23-17,47-1,Democrat,0.575,0.575,0.98,"https://voteview.com/rollcall/RH0800133, https://voteview.com/rollcall/RS0800222 ","https://voteview.com/rollcall/RH0800133, https://voteview.com/rollcall/RS0800222 ",
RTAA extension,81,2-9,9-`5,1949,HR1211,7,191,2 year extension,TRUE,320-69,Passed,235-6,84-63,Rebulican,0.571,0.975,0.571,62-19,Passed,47-1,15-18,Republican,0.4545454545,0.98,0.45,"https://voteview.com/rollcall/RH0810007, https://voteview.com/rollcall/RS0810191 ","https://voteview.com/rollcall/RH0810007, https://voteview.com/rollcall/RS0810191 ",
RTAA extension,82,2-7,5-23,1951,HR1612,7,48,2 year extension,TRUE,225-168,Passed,42-163,183-4,Rebulican,0.979,0.205,0.376,72-2,Passed,38-0,34-2,Republican,0.9444444444,1,0.94,"https://voteview.com/rollcall/RH0820007 , https://voteview.com/rollcall/RS0820048 , congress page: https://www.congress.gov/bill/82nd-congress/house-bill/1612/text ","https://voteview.com/rollcall/RH0820007 , https://voteview.com/rollcall/RS0820048 ",
RTAA extension,83,6-15,N/A,1953,HR5495,33,,1 year extension,TRUE,363-34,Passed,183-9,179-25,Democrat,0.953,0.953,0.877,,Passed,voice vote,voice vote,Democrat,,,," https://voteview.com/rollcall/RH0830033, additionally, congress page for this: https://www.congress.gov/bill/83rd-congress/house-bill/5495/titles "," https://voteview.com/rollcall/RH0830033,",
RTAA extension,83,6-11,6-23,1954,HR9474,103,116,1 year extension,TRUE,281-53,Passed,154-14,126-39,Democrat,0.917,0.917,0.764,71-3,Passed,34-1,37-2,Democrat,0.9714285714,0.97,0.94,"https://voteview.com/rollcall/RH0830103, https://voteview.com/rollcall/RS0830166 ","https://voteview.com/rollcall/RH0830103, https://voteview.com/rollcall/RS0830166 ",
